9.64,1.95,1.5
9.67,2.04,1.5
9.69,2.09,1.5
9.71,2.16,1.5
9.74,2.25,1.5
9.76,2.31,1.5
9.79,2.36,1.5
9.81,2.38,1.5
9.84,2.47,1.5
9.86,2.53,1.5
9.89,2.6,1.5
9.91,2.71,1.5
9.93,2.79,1.5
9.96,2.87,1.5
9.98,2.95,1.5
10.01,3.05,1.5
10.03,3.11,1.5
10.06,3.19,1.5
10.08,3.24,1.5
10.1,3.29,1.5
10.13,3.4,1.5
10.15,3.47,1.5
10.18,3.58,1.5
10.2,3.7,1.5
10.23,3.79,1.5
10.25,3.87,1.5
10.28,3.94,1.5
10.3,4.05,1.5
10.32,4.14,1.5
10.35,4.23,1.5
10.37,4.3,1.5
10.4,4.37,1.5
10.42,4.47,1.5
10.45,4.52,1.5
10.47,4.63,1.5
10.5,4.71,1.5
10.52,4.78,1.5
10.54,4.85,1.5
10.57,4.91,1.5
10.59,5,1.5
10.62,5.03,1.5
10.64,5.14,1.5
10.67,5.2,1.5
10.69,5.24,1.5
10.72,5.28,1.5
10.74,5.33,1.5
10.76,5.4,1.5
10.79,5.39,1.5
10.81,5.4,1.5
10.84,5.44,1.5
10.86,5.45,1.5
10.89,5.49,1.5
10.91,5.53,1.5
10.94,5.61,1.5
10.96,5.62,1.5
10.98,5.63,1.5
11.01,5.6,1.5
11.03,5.57,1.5
11.06,5.59,1.5
11.08,5.53,1.5
11.11,5.55,1.5
11.13,5.55,1.5
11.15,5.55,1.5
11.18,5.54,1.5
11.2,5.5,1.5
11.23,5.54,1.5
11.25,5.49,1.5
11.28,5.48,1.5
11.3,5.45,1.5
11.33,5.41,1.5
11.35,5.34,1.5
11.37,5.29,1.5
11.4,5.27,1.5
11.42,5.2,1.5
11.45,5.21,1.5
11.47,5.18,1.5
11.5,5.11,1.5
11.52,5.09,1.5
11.55,5.02,1.5
11.57,4.99,1.5
11.59,4.93,1.5
11.62,4.89,1.5
11.64,4.82,1.5
11.67,4.76,1.5
11.69,4.7,1.5
11.72,4.6,1.5
11.74,4.56,1.5
11.77,4.49,1.5
11.79,4.45,1.5
11.81,4.36,1.5
11.84,4.3,1.5
11.86,4.27,1.5
11.89,4.2,1.5
11.91,4.13,1.5
11.94,4.08,1.5
11.96,4.02,1.5
11.99,3.95,1.5
12.01,3.86,1.5
12.03,3.81,1.5
